artist_name,label,source_url
Coi Leray,Island Records (UK),https://www.islandrecords.co.uk/artists/
Conan Gray,Republic Records,https://www.republicrecords.com/pages/artists
Confidence Man,Polydor (UK),https://polydor.co.uk/collections/all-artists
Count Basie,Verve Records,https://www.ververecords.com/verve/artists/
Crawlers,Polydor (UK),https://polydor.co.uk/collections/all-artists
Cynthia Erivo,Republic Records,https://www.republicrecords.com/pages/artists
DaBaby,Interscope Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
Dalton Dover,UMG Nashville,https://www.umgnashville.com/
Daniel Caesar,Republic Records,https://www.republicrecords.com/pages/artists
Darius Rucker,UMG Nashville,https://www.umgnashville.com/
David Bowie,Decca Records,https://shop.decca.com/pages/artists
David Murray Quartet,Impulse! Records,https://www.impulserecords.com/artists/
Dean,Island Records (US),https://www.islandrecords.com/pages/artist-hub
Demi Lovato,Island Records (US),https://www.islandrecords.com/pages/artist-hub
Dermot Kennedy,Island Records (UK),https://www.islandrecords.co.uk/artists/
Dexter Gordon,Blue Note Records,https://www.bluenote.com/artists/
Dierks Bentley,UMG Nashville,https://www.umgnashville.com/
Disclosure,Island Records (UK),https://www.islandrecords.co.uk/artists/
Dizzee Rascal,Island Records (UK),https://www.islandrecords.co.uk/artists/
Doechii,Capitol Records,https://www.capitolrecords.com/
Drake,Island Records (UK),https://www.islandrecords.co.uk/artists/
Duke Dumont,Astralwerks,https://www.astralwerks.com/artists/
Eddie Vedder,Republic Records,https://www.republicrecords.com/pages/artists
Ela Taubert,Universal Musica (UMLE),https://www.universalmusica.com/artists/
Elbow,Polydor (UK),https://polydor.co.uk/collections/all-artists
Ellie Goulding,Polydor (UK),https://polydor.co.uk/collections/all-artists
Elmiene,Polydor (UK),https://polydor.co.uk/collections/all-artists
Elton John,EMI Records (UK),https://shop.emi.com/pages/artists
Emeline,Capitol Records,https://www.capitolrecords.com/
Eminem,Interscope Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
Empire of the Sun,EMI Records (UK),https://shop.emi.com/pages/artists
English Teacher,Island Records (UK),https://www.islandrecords.co.uk/artists/
Eric B. & Rakim,Island Records (UK),https://www.islandrecords.co.uk/artists/
Eric Church,UMG Nashville,https://www.umgnashville.com/
FLETCHER,Capitol Records,https://www.capitolrecords.com/
FLO,Island Records (UK),https://www.islandrecords.co.uk/artists/
